course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,enrollment,rating,search_text
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,5300.0,4.7,(isc)² systems security certified practitioner (sscp) (isc)² beginner
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,17000.0,4.7,a crash course in causality:  inferring causal effects from observational data university of pennsylvania intermediate
A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,130000.0,4.5,a crash course in data science johns hopkins university mixed
A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k,91000.0,4.7,a law student's toolkit yale university mixed
A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k,320000.0,4.8,a life of happiness and fulfillment indian school of business mixed
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,39000.0,4.7,adhd: everyday strategies for elementary students university at buffalo beginner
AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,350000.0,4.8,ai for everyone deeplearning.ai beginner
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,2400.0,4.8,ai for medical treatment deeplearning.ai intermediate
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,61000.0,4.7,ai foundations for everyone ibm beginner
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,12000.0,4.7,ai for medical diagnosis deeplearning.ai intermediate
AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,4000.0,4.6,ai for medical prognosis deeplearning.ai intermediate
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,13000.0,4.7,ai for medicine deeplearning.ai intermediate
AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,130000.0,4.6,aws fundamentals amazon web services beginner
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,11000.0,4.3,aws fundamentals: addressing security risk amazon web services beginner
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,27000.0,4.7,aws fundamentals: building serverless applications amazon web services beginner
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,110000.0,4.7,aws fundamentals: going cloud-native amazon web services beginner
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,13000.0,4.5,aws fundamentals: migrating to the cloud amazon web services intermediate
Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k,6600.0,4.7,aboriginal worldviews and education university of toronto mixed
Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,540000.0,4.7,"academic english: writing university of california, irvine beginner"
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k,22000.0,4.7,accelerated computer science fundamentals university of illinois at urbana-champaign intermediate
Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k,2900.0,4.6,access controls (isc)² beginner
Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80k,80000.0,4.5,accounting analytics university of pennsylvania mixed
Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9.9k,9900.0,4.8,accounting for decision making university of michigan intermediate
Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k,110000.0,4.7,achieving personal and professional success university of pennsylvania beginner
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23k,23000.0,4.8,actualización en el manejo del paciente con diabetes mellitus tipo 2 universidad nacional autónoma de méxico mixed
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.2k,9200.0,4.8,addiction treatment: clinical skills for healthcare providers yale university beginner
Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k,78000.0,4.5,advanced business analytics university of colorado boulder intermediate
Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k,320000.0,4.4,advanced data science with ibm ibm advanced
Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k,190000.0,4.5,advanced machine learning national research university higher school of economics advanced
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k,35000.0,4.5,advanced machine learning with tensorflow on google cloud platform google cloud advanced
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29k,29000.0,4.7,"advanced valuation and strategy - m&a, private equity, and venture capital erasmus university rotterdam advanced"
Advertising and Society,Duke University,COURSE,4.8,Mixed,14k,14000.0,4.8,advertising and society duke university mixed
Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21k,21000.0,4.7,age of cathedrals yale university beginner
Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94k,94000.0,4.7,agile development university of virginia beginner
Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69k,69000.0,4.7,agile meets design thinking university of virginia beginner
Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40k,40000.0,4.7,agile with atlassian jira atlassian beginner
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12k,12000.0,4.9,agile и scrum в работе над проектами и продуктами scrumtrek beginner
Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220k,220000.0,4.7,algorithmic toolbox university of california san diego intermediate
Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k,150000.0,4.8,algorithms stanford university intermediate
Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k,14000.0,4.8,algorithms for battery management systems university of colorado system intermediate
American Contract Law I,Yale University,COURSE,4.9,Beginner,18k,18000.0,4.9,american contract law i yale university beginner
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23k,23000.0,4.8,an introduction to american law university of pennsylvania beginner
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69k,69000.0,4.7,an introduction to consumer neuroscience & neuromarketing copenhagen business school beginner
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k,270000.0,4.6,"an introduction to programming the internet of things (iot) university of california, irvine beginner"
Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k,7900.0,4.6,analysing: numeric and digital literacies macquarie university beginner
Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30k,30000.0,4.8,anatomy university of michigan beginner
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36k,36000.0,4.8,"anatomy of the chest, abdomen, and pelvis yale university intermediate"
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20k,20000.0,4.8,anatomy: musculoskeletal and integumentary systems university of michigan beginner
Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8.1k,8100.0,4.8,ancient philosophy: aristotle and his successors university of pennsylvania mixed
Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k,120000.0,4.5,android app development vanderbilt university beginner
Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71k,71000.0,4.8,animal behaviour and welfare the university of edinburgh mixed
Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11k,11000.0,4.5,antibiotic stewardship stanford university advanced
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11k,11000.0,4.8,anticorrupción: introducción a conceptos y perspectiva práctica universidad nacional autónoma de méxico beginner
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63k,63000.0,4.6,antimicrobial resistance - theory and methods technical university of denmark (dtu) intermediate
Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220k,220000.0,4.6,applied data science ibm beginner
Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42k,42000.0,4.7,applied data science capstone ibm intermediate
Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480k,480000.0,4.5,applied data science with python university of michigan intermediate
Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150k,150000.0,4.6,applied machine learning in python university of michigan intermediate
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97k,97000.0,4.6,"applied plotting, charting & data representation in python university of michigan intermediate"
Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6.6k,6600.0,4.2,aprende a programar con python universidad austral beginner
Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200k,200000.0,4.8,aprender universidad nacional autónoma de méxico mixed
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180k,180000.0,4.9,aprendiendo a aprender: poderosas herramientas mentales con las que podrás dominar temas difíciles (learning how to learn) university of california san diego beginner
